id,tz,from,to,hours
1495429889559,America/Chicago,22. 05. 2017 0:11,22. 05. 2017 7:00,6.82
1495454559512,America/Chicago,22. 05. 2017 7:02,22. 05. 2017 8:00,0.97
1495526430392,America/Chicago,23. 05. 2017 3:00,23. 05. 2017 8:00,5
1495597814448,America/Chicago,23. 05. 2017 22:50,24. 05. 2017 7:30,8.67
1495699620963,America/Chicago,25. 05. 2017 3:07,25. 05. 2017 7:05,3.98
1495714657312,America/Chicago,25. 05. 2017 7:17,25. 05. 2017 7:32,0.25
1495743731559,America/Chicago,25. 05. 2017 15:22,25. 05. 2017 18:50,3.47
1495780361117,America/Chicago,26. 05. 2017 1:32,26. 05. 2017 7:45,6.21
1495871984975,America/Chicago,27. 05. 2017 2:59,27. 05. 2017 10:17,7.3
1495954838956,America/Chicago,28. 05. 2017 2:00,28. 05. 2017 11:00,9
1496040330183,America/Chicago,29. 05. 2017 1:45,29. 05. 2017 8:10,6.42
1496127082540,America/Chicago,30. 05. 2017 1:51,30. 05. 2017 1:53,0.03
1496127299994,America/Chicago,30. 05. 2017 1:54,30. 05. 2017 9:30,7.59
1496214343955,America/Chicago,31. 05. 2017 2:05,31. 05. 2017 9:36,7.51
1496292388032,America/Chicago,31. 05. 2017 23:46,31. 05. 2017 23:48,0.03
1496296106505,America/Chicago,01. 06. 2017 0:48,01. 06. 2017 7:00,6.2
1496385583008,America/Chicago,02. 06. 2017 1:39,02. 06. 2017 10:53,9.24
1496479605522,America/Chicago,03. 06. 2017 3:46,03. 06. 2017 7:22,3.6
1496552019217,America/Chicago,03. 06. 2017 23:53,04. 06. 2017 7:05,7.2
1496813291655,America/Denver,06. 06. 2017 23:28,07. 06. 2017 7:31,8.05
1496898988059,America/Denver,07. 06. 2017 23:16,08. 06. 2017 9:25,10.15
1496987972219,America/Denver,08. 06. 2017 23:59,09. 06. 2017 7:01,7.03
1497070034397,America/Denver,09. 06. 2017 22:47,10. 06. 2017 8:44,9.95
1497161160080,America/Denver,11. 06. 2017 0:06,11. 06. 2017 8:54,8.8
1497242777563,America/Denver,11. 06. 2017 22:46,12. 06. 2017 6:11,7.41
1497331725900,America/Denver,12. 06. 2017 23:28,13. 06. 2017 6:38,7.16
1497412554570,America/Denver,13. 06. 2017 21:55,14. 06. 2017 6:03,8.12
1497501574752,America/Denver,14. 06. 2017 22:39,15. 06. 2017 6:03,7.39
1497587487952,America/Denver,15. 06. 2017 22:31,16. 06. 2017 6:05,7.57
1497681027475,America/Denver,17. 06. 2017 0:30,17. 06. 2017 9:13,8.72
1497773529559,America/Denver,18. 06. 2017 2:12,18. 06. 2017 9:06,6.91
1497847767843,America/Denver,18. 06. 2017 22:49,19. 06. 2017 6:37,7.81
1497935946342,America/Denver,19. 06. 2017 23:19,20. 06. 2017 6:11,6.87
1498019826849,America/Denver,20. 06. 2017 22:37,21. 06. 2017 6:14,7.62
1498104821529,America/Denver,21. 06. 2017 22:13,22. 06. 2017 7:00,8.78
1498193528596,America/Denver,22. 06. 2017 22:52,23. 06. 2017 6:07,7.25
1498220530768,America/Denver,23. 06. 2017 6:22,23. 06. 2017 7:00,0.65
1499059808808,America/Denver,02. 07. 2017 23:30,03. 07. 2017 6:45,7.26
1499232959601,America/Denver,04. 07. 2017 23:35,05. 07. 2017 6:45,7.16
1499318169369,America/Denver,05. 07. 2017 23:16,06. 07. 2017 6:30,7.24
1499406008285,America/Denver,06. 07. 2017 23:40,07. 07. 2017 6:17,6.63
1499492989620,America/Denver,07. 07. 2017 23:49,08. 07. 2017 8:24,8.58
1499671443835,America/Denver,10. 07. 2017 1:24,10. 07. 2017 6:50,5.44
1499747516860,America/Denver,10. 07. 2017 22:31,11. 07. 2017 6:35,8.06
1499839800271,America/Denver,12. 07. 2017 0:10,12. 07. 2017 6:07,5.96
1499922515974,America/Denver,12. 07. 2017 23:08,13. 07. 2017 7:30,8.37
1500007557745,America/Denver,13. 07. 2017 22:45,14. 07. 2017 6:45,7.99
1500097614743,America/Denver,14. 07. 2017 23:46,15. 07. 2017 8:22,8.59
1500270480894,America/Denver,16. 07. 2017 23:48,17. 07. 2017 6:15,6.45
1500356670968,America/Denver,17. 07. 2017 23:44,18. 07. 2017 6:13,6.49
1500442524363,America/Denver,18. 07. 2017 23:35,19. 07. 2017 5:51,6.27
1500527479733,America/Denver,19. 07. 2017 23:11,20. 07. 2017 6:27,7.26
1500612825925,America/Denver,20. 07. 2017 22:53,21. 07. 2017 6:45,7.86
1500641157163,America/Denver,21. 07. 2017 6:45,21. 07. 2017 7:45,0.99
1500794116541,America/Denver,23. 07. 2017 1:15,23. 07. 2017 8:30,7.25
1500866664087,America/Denver,23. 07. 2017 21:24,24. 07. 2017 6:31,9.11
1500963817444,America/Denver,25. 07. 2017 0:23,25. 07. 2017 7:35,7.2
1501046485466,America/Denver,25. 07. 2017 23:21,26. 07. 2017 6:22,7.02
1501218679598,America/Denver,27. 07. 2017 23:11,28. 07. 2017 5:56,6.75
1501301751094,America/Denver,28. 07. 2017 22:15,29. 07. 2017 7:57,9.7
1501405645629,America/Denver,30. 07. 2017 3:07,30. 07. 2017 10:02,6.91
1501480512474,America/Denver,30. 07. 2017 23:55,31. 07. 2017 7:35,7.68
1501566416177,America/Denver,31. 07. 2017 23:46,01. 08. 2017 6:48,7.02
1501648598547,America/Denver,01. 08. 2017 22:36,02. 08. 2017 6:00,7.4
1501830194008,America/Denver,04. 08. 2017 1:03,04. 08. 2017 7:45,6.71
1501914933822,America/Denver,05. 08. 2017 0:35,05. 08. 2017 9:14,8.65
1502001511167,America/Denver,06. 08. 2017 0:38,06. 08. 2017 6:41,6.04
